date,daily_sales,temperature,precipitation,consumer_confidence,unemployment_rate,competitor_count,marketing_spend,promotion_active,avg_wait_time_min,repeat_customer_pct,labor_hours,staff_on_shift,day_of_week,month,is_weekend,prediction,residual,anomaly,split
2022-01-01,288508.56,49.125,0.12200000000000001,72.50333333333333,4.687333333333333,10.35,17233.44,0.16666666666666666,9.421666666666665,0.47769999999999996,2698.4,339.0,5,1,1,287323.7890000008,1184.770999999193,0,train
2022-01-02,279354.73,51.86833333333333,0.107,72.53166666666667,4.686333333333334,10.333333333333334,16952.5,0.15,9.421666666666665,0.48011666666666664,2683.6,335.0,6,1,1,280943.13496666634,-1588.4049666663632,0,train
2022-01-03,203222.43,52.385,0.085,72.525,4.690166666666667,10.283333333333333,17384.29,0.11666666666666667,8.918333333333333,0.47251666666666664,1913.3,235.0,0,1,0,204586.30389999977,-1363.8738999997731,0,train
2022-01-04,209488.54,50.74666666666667,0.16366666666666668,72.50833333333334,4.688,11.25,19235.84,0.13333333333333333,9.113333333333333,0.4739333333333333,1949.9,242.0,1,1,0,209143.8307666662,344.70923333382234,0,train
2022-01-05,218021.35,49.68333333333333,0.06733333333333333,72.55166666666668,4.677499999999999,10.6,19292.2,0.11666666666666667,8.796666666666665,0.44288333333333335,2017.6,253.0,2,1,0,217898.0686666675,123.28133333250298,0,train
2022-01-06,225097.91,49.94666666666667,0.1381666666666667,72.52166666666668,4.668,11.233333333333333,18001.88,0.15,9.373333333333333,0.4795666666666667,2102.2,265.0,3,1,0,226287.26229999875,-1189.3522999987472,0,train
2022-01-07,264132.65,48.39333333333333,0.08133333333333333,72.44166666666666,4.663166666666666,11.45,18557.59,0.13333333333333333,9.626666666666667,0.47565,2431.4,304.0,4,1,0,262172.7331999999,1959.9168000001227,0,train
2022-01-08,281873.67,48.730000000000004,0.16466666666666666,72.57,4.6706666666666665,11.15,17314.76,0.2,8.521666666666667,0.4798666666666666,2741.5,345.0,5,1,1,282504.5880333343,-630.9180333343102,0,train
2022-01-09,274472.66,49.88666666666666,0.11433333333333334,72.575,4.664666666666666,10.616666666666667,17355.19,0.15,8.811666666666667,0.4871666666666667,2689.6,334.0,6,1,1,278018.9564666655,-3546.296466665517,0,train
2022-01-10,202668.89,52.208333333333336,0.06133333333333334,72.55333333333333,4.667666666666666,11.133333333333333,17600.35,0.08333333333333333,8.735000000000001,0.4765,1869.4,234.0,0,1,0,202326.21216666707,342.6778333329421,0,train
2022-01-11,207762.72,49.751666666666665,0.04766666666666666,72.61,4.660666666666667,10.65,17385.62,0.1,8.816666666666666,0.46786666666666665,1936.1,242.0,1,1,0,208572.42026666616,-809.7002666661574,0,train
2022-01-12,217987.84,49.59666666666667,0.07183333333333333,72.57166666666667,4.6865,10.316666666666666,19542.63,0.06666666666666667,9.243333333333334,0.4877,2003.0,251.0,2,1,0,217535.7833000011,452.0566999989096,0,train
2022-01-13,228036.93,50.10166666666667,0.091,72.53500000000001,4.689666666666667,11.3,17548.5,0.08333333333333333,8.764999999999999,0.4825,2077.4,258.0,3,1,0,225548.89049999983,2488.039500000159,0,train
2022-01-14,262481.86,52.431666666666665,0.07383333333333333,72.58666666666666,4.727500000000001,11.233333333333333,16594.54,0.11666666666666667,8.315,0.4847166666666667,2508.1,314.0,4,1,0,262308.564133333,173.29586666700197,0,train
2022-01-15,293580.34,51.940000000000005,0.13799999999999998,72.61666666666666,4.746833333333333,10.3,16222.65,0.1,8.225,0.48131666666666667,2911.0,361.0,5,1,1,295023.3749333344,-1443.034933334391,0,train
2022-01-16,275452.82,48.15833333333333,0.10133333333333333,72.69166666666666,4.765166666666667,10.3,17424.97,0.13333333333333333,9.643333333333334,0.48933333333333334,2566.3,325.0,6,1,1,275830.11849999946,-377.29849999945145,0,train
2022-01-17,205668.14,51.33833333333334,0.08866666666666667,72.61833333333334,4.718833333333333,10.95,17076.23,0.08333333333333333,8.856666666666666,0.4863166666666666,1875.3,234.0,0,1,0,204081.13133333364,1587.0086666663701,0,train
2022-01-18,208481.74,50.986666666666665,0.11783333333333333,72.58500000000001,4.7265,9.6,16573.62,0.08333333333333333,8.965,0.46305,1920.5,244.0,1,1,0,209212.8317000001,-731.0917000001064,0,train
2022-01-19,214052.15,48.876666666666665,0.09033333333333333,72.66833333333332,4.742500000000001,10.916666666666666,17084.39,0.11666666666666667,9.07,0.46968333333333334,1894.6,239.0,2,1,0,210628.36163333274,3423.788366667257,0,train
2022-01-20,223590.68,46.983333333333334,0.11733333333333333,72.72666666666667,4.763333333333334,10.966666666666667,15976.91,0.06666666666666667,9.078333333333335,0.4795833333333333,2058.5,257.0,3,1,0,222567.08053333324,1023.5994666667539,0,train
2022-01-21,261344.27,52.73166666666667,0.096,72.695,4.760000000000001,11.183333333333334,18311.33,0.1,8.916666666666666,0.47086666666666666,2498.8,313.0,4,1,0,262331.38316666725,-987.1131666672591,0,train
2022-01-22,291352.01,50.10166666666667,0.10099999999999999,72.905,4.748500000000001,11.3,15733.81,0.03333333333333333,8.93,0.4747833333333334,2742.6,340.0,5,1,1,289227.77336666716,2124.2366333328537,0,train
2022-01-23,276371.88,47.65,0.14800000000000002,72.90666666666668,4.757333333333333,10.55,19048.15,0.13333333333333333,9.56,0.4854,2519.0,313.0,6,1,1,272310.0941000003,4061.785899999726,0,train
2022-01-24,205670.76,49.67666666666666,0.12333333333333334,73.00333333333333,4.759833333333333,11.1,18946.04,0.08333333333333333,8.345,0.47896666666666665,1979.6,247.0,0,1,0,207134.32949999964,-1463.569499999634,0,train
2022-01-25,212182.33,49.90333333333333,0.1135,73.12833333333333,4.753,10.816666666666666,18929.23,0.08333333333333333,9.711666666666668,0.4713,1910.4,240.0,1,1,0,211130.3178333324,1052.012166667584,0,train
2022-01-26,214102.47,49.77333333333333,0.09716666666666667,73.27,4.756333333333333,11.033333333333333,16085.2,0.11666666666666667,8.488333333333333,0.47918333333333335,1994.3,250.0,2,1,0,213201.8757333329,900.594266667089,0,train
2022-01-27,226530.47,46.48833333333334,0.14250000000000002,73.24,4.770666666666667,11.033333333333333,18472.41,0.21666666666666667,7.915,0.45315,2155.5,269.0,3,1,0,227141.30319999953,-610.833199999528,0,train
2022-01-28,260230.22,50.68666666666666,0.09383333333333334,73.41166666666666,4.769666666666667,10.516666666666667,18891.75,0.11666666666666667,8.688333333333333,0.48989999999999995,2454.3,308.0,4,1,0,260058.70669999943,171.5133000005735,0,train
2022-01-29,291186.3,48.84666666666667,0.10216666666666667,73.37333333333332,4.777166666666667,10.316666666666666,19894.88,0.15,7.92,0.48556666666666665,2898.7,361.0,5,1,1,292562.83459999895,-1376.5345999989659,0,train
2022-01-30,268789.15,51.18,0.09683333333333333,73.41,4.787,10.466666666666667,17775.14,0.16666666666666666,7.966666666666667,0.4592,2535.2,317.0,6,1,1,267845.82046666666,943.3295333333663,0,train
2022-01-31,204849.02,52.11666666666667,0.13216666666666665,73.405,4.771,10.95,16731.96,0.15,8.628333333333334,0.47773333333333334,1931.7,243.0,0,1,0,206129.72506666745,-1280.7050666674622,0,train
2022-02-01,214652.36,51.71333333333334,0.10149999999999999,73.38333333333334,4.775833333333334,10.716666666666667,17962.78,0.11666666666666667,8.625,0.48473333333333335,2038.6,254.0,1,2,0,217239.64979999978,-2587.289799999795,0,train
