date,store_id,competitors_within_1mi,competitors_within_3mi,nearest_competitor_distance_mi,new_competitor_opened,competitor_closure,competitor_running_promotion,market_saturation_score,est_competitor_avg_price
2022-01-01,STR001,3,12,0.13,0,0,0,26.3,17.97
2022-01-02,STR001,6,26,1.14,0,0,1,37.2,17.43
2022-01-03,STR001,3,21,0.3,0,0,0,19.3,18.14
2022-01-04,STR001,6,23,1.35,0,0,0,33.0,13.52
2022-01-05,STR001,6,22,0.5,0,0,0,39.0,17.33
2022-01-06,STR001,4,24,0.82,0,0,0,25.2,14.22
2022-01-07,STR001,5,16,0.32,0,0,0,39.9,19.94
2022-01-08,STR001,5,12,0.72,0,0,0,30.1,12.61
2022-01-09,STR001,10,20,0.26,0,0,0,55.0,17.48
2022-01-10,STR001,8,25,0.35,0,0,0,46.7,19.74
2022-01-11,STR001,6,26,1.23,0,0,0,40.9,20.68
2022-01-12,STR001,5,15,1.11,0,0,0,29.1,19.33
2022-01-13,STR001,7,15,0.44,0,0,0,53.3,14.98
2022-01-14,STR001,6,26,1.28,0,0,1,39.4,17.82
2022-01-15,STR001,4,12,1.41,0,0,1,23.2,17.22
2022-01-16,STR001,5,14,0.1,0,0,1,29.0,14.92
2022-01-17,STR001,9,24,1.16,0,0,0,51.8,18.86
2022-01-18,STR001,1,18,1.28,0,0,0,2.0,13.22
2022-01-19,STR001,9,19,0.97,0,0,0,44.4,17.01
2022-01-20,STR001,5,12,1.44,0,0,0,34.0,19.41
2022-01-21,STR001,7,23,1.5,0,0,1,45.8,18.04
2022-01-22,STR001,5,21,0.97,0,0,0,32.6,18.22
2022-01-23,STR001,7,12,0.26,0,0,1,41.8,17.97
2022-01-24,STR001,4,10,0.11,0,0,0,15.6,12.65
2022-01-25,STR001,11,20,1.3,0,0,0,64.4,20.76
2022-01-26,STR001,7,18,0.86,0,0,1,43.9,19.3
2022-01-27,STR001,8,21,1.26,0,0,0,46.3,15.24
2022-01-28,STR001,8,25,1.4,0,0,0,49.2,13.29
2022-01-29,STR001,6,12,1.26,0,0,1,35.8,15.39
2022-01-30,STR001,8,13,0.53,0,0,0,48.4,17.16
2022-01-31,STR001,6,13,0.12,0,0,0,33.5,16.84
2022-02-01,STR001,10,27,0.42,0,0,0,52.5,18.39
2022-02-02,STR001,8,23,0.34,0,0,0,52.8,19.24
2022-02-03,STR001,7,27,0.73,0,0,0,48.2,18.05
2022-02-04,STR001,6,11,0.53,0,0,0,37.7,15.87
2022-02-05,STR001,4,24,0.8,0,0,0,29.8,15.24
2022-02-06,STR001,4,19,0.33,0,0,0,28.2,13.91
2022-02-07,STR001,8,19,0.94,0,0,0,45.8,19.69
2022-02-08,STR001,9,19,0.58,0,0,0,50.9,24.78
2022-02-09,STR001,5,21,0.37,0,0,0,36.4,14.28
2022-02-10,STR001,5,21,0.5,0,0,0,34.4,20.64
2022-02-11,STR001,5,11,1.36,0,0,0,33.3,15.78
2022-02-12,STR001,4,13,0.71,0,0,0,20.7,13.63
2022-02-13,STR001,4,13,0.56,0,0,0,22.3,18.29
2022-02-14,STR001,4,18,1.24,0,0,0,31.1,17.01
2022-02-15,STR001,3,18,1.44,0,0,0,19.7,16.58
2022-02-16,STR001,7,22,0.23,0,0,0,47.3,17.57
2022-02-17,STR001,2,9,0.46,0,0,1,10.2,16.43
2022-02-18,STR001,4,14,1.17,0,0,0,29.4,16.31
2022-02-19,STR001,8,13,0.33,0,0,1,42.7,18.87
2022-02-20,STR001,5,23,1.41,0,0,0,33.3,15.28
2022-02-21,STR001,10,22,1.29,0,0,0,64.5,14.27
2022-02-22,STR001,3,17,0.98,0,0,0,18.3,17.06
2022-02-23,STR001,7,26,0.51,0,0,0,38.2,17.03
2022-02-24,STR001,9,22,1.22,0,0,0,54.0,13.49
