date,city,unemployment_rate,consumer_sentiment,foot_traffic_index,gas_price_per_gallon,cpi_food_away_home,local_population,restaurant_industry_index
2022-01-01,Los Angeles,5.79,70.1,95.0,3.16,260.02,68000,101.7
2022-01-02,Los Angeles,5.73,70.1,95.4,3.65,261.33,68000,101.2
2022-01-03,Los Angeles,5.75,69.5,95.8,3.63,259.48,68000,97.2
2022-01-04,Los Angeles,5.79,69.5,95.7,3.83,259.14,68000,98.2
2022-01-05,Los Angeles,5.78,69.2,95.4,4.04,260.96,68000,100.3
2022-01-06,Los Angeles,5.76,68.9,95.1,3.37,261.02,68000,99.3
2022-01-07,Los Angeles,5.72,68.5,95.7,3.91,260.65,68000,98.9
2022-01-08,Los Angeles,5.76,68.8,96.3,3.52,259.84,68000,103.2
2022-01-09,Los Angeles,5.71,68.9,95.8,3.85,260.07,68000,97.9
2022-01-10,Los Angeles,5.66,68.6,95.2,3.0,259.85,68000,97.7
2022-01-11,Los Angeles,5.75,69.0,95.2,3.54,260.32,68000,97.8
2022-01-12,Los Angeles,5.77,68.5,94.8,3.5,258.53,68000,100.6
2022-01-13,Los Angeles,5.82,68.3,94.5,3.56,262.51,68000,99.2
2022-01-14,Los Angeles,5.9,68.4,94.0,3.78,261.21,68000,99.2
2022-01-15,Los Angeles,5.9,68.5,93.9,3.83,259.16,68000,98.4
2022-01-16,Los Angeles,5.98,69.1,93.7,3.59,260.54,68000,103.3
2022-01-17,Los Angeles,5.98,69.0,94.0,3.7,259.61,68000,97.2
2022-01-18,Los Angeles,6.04,69.4,93.9,3.67,260.39,68000,98.7
2022-01-19,Los Angeles,6.12,69.6,94.0,3.49,260.63,68000,100.5
2022-01-20,Los Angeles,6.12,69.7,94.6,3.45,258.88,68000,99.8
2022-01-21,Los Angeles,6.13,69.7,94.8,3.59,260.81,68000,103.8
2022-01-22,Los Angeles,6.16,69.7,94.3,3.59,260.85,68000,97.7
2022-01-23,Los Angeles,6.08,69.3,93.7,3.78,260.76,68000,99.5
2022-01-24,Los Angeles,6.05,69.1,94.5,4.12,260.15,68000,101.5
2022-01-25,Los Angeles,6.04,69.4,94.6,3.94,259.14,68000,100.9
2022-01-26,Los Angeles,6.0,69.4,95.3,3.03,261.28,68000,96.4
2022-01-27,Los Angeles,6.02,69.5,95.2,2.75,260.32,68000,101.8
2022-01-28,Los Angeles,6.03,69.5,96.1,3.78,261.56,68000,103.2
