date,city,temperature_f,precipitation_in,storm_event,snow_event,heat_wave,wind_speed_mph,humidity_pct,feels_like_f
2022-01-01,Los Angeles,67.6,0.01,0,0,0,16.3,69.5,66.8
2022-01-02,Los Angeles,65.8,0.04,0,0,0,18.7,41.5,65.7
2022-01-03,Los Angeles,63.6,0.05,0,0,0,11.1,81.5,66.2
2022-01-04,Los Angeles,64.6,0.02,0,0,0,13.0,77.9,67.6
2022-01-05,Los Angeles,62.3,0.02,0,0,0,12.7,70.9,61.4
2022-01-06,Los Angeles,62.5,0.01,0,0,0,3.8,65.3,59.4
2022-01-07,Los Angeles,58.7,0.18,0,0,0,16.5,60.6,61.4
2022-01-08,Los Angeles,61.0,0.04,0,0,0,13.7,60.2,66.7
2022-01-09,Los Angeles,71.3,0.04,0,0,0,5.9,72.2,69.4
2022-01-10,Los Angeles,73.8,0.01,0,0,0,15.3,34.1,73.0
2022-01-11,Los Angeles,69.9,0.06,0,0,0,13.7,83.5,68.2
2022-01-12,Los Angeles,69.6,0.01,0,0,0,7.4,41.6,65.8
2022-01-13,Los Angeles,59.0,0.02,0,0,0,11.4,63.5,61.3
2022-01-14,Los Angeles,62.4,0.0,0,0,0,8.5,57.2,59.2
2022-01-15,Los Angeles,69.1,0.04,0,0,0,0.7,65.5,69.3
2022-01-16,Los Angeles,69.4,0.05,0,0,0,8.7,62.2,65.8
2022-01-17,Los Angeles,66.1,0.01,0,0,0,6.6,40.7,65.2
2022-01-18,Los Angeles,67.5,0.26,0,0,0,8.1,54.8,73.1
2022-01-19,Los Angeles,65.2,0.03,0,0,0,13.9,45.8,66.2
2022-01-20,Los Angeles,62.0,0.06,0,0,0,20.6,55.3,65.8
2022-01-21,Los Angeles,68.3,0.0,0,0,0,9.1,82.0,68.8
2022-01-22,Los Angeles,62.2,0.01,0,0,0,5.3,59.2,67.2
2022-01-23,Los Angeles,59.5,0.0,0,0,0,14.5,77.2,64.9
2022-01-24,Los Angeles,63.0,0.0,0,0,0,0.9,43.5,60.7
2022-01-25,Los Angeles,58.2,0.01,0,0,0,6.1,36.9,56.3
2022-01-26,Los Angeles,57.9,0.02,0,0,0,3.5,46.3,60.8
2022-01-27,Los Angeles,49.5,0.01,0,0,0,6.3,75.0,49.7
2022-01-28,Los Angeles,59.7,0.03,0,0,0,8.8,44.2,61.0
2022-01-29,Los Angeles,55.3,0.18,0,0,0,11.9,32.6,51.5
2022-01-30,Los Angeles,57.3,0.03,0,0,0,8.7,45.4,58.1
2022-01-31,Los Angeles,62.6,0.01,0,0,0,11.1,68.2,65.3
2022-02-01,Los Angeles,61.4,0.09,0,0,0,10.1,65.7,60.7
2022-02-02,Los Angeles,69.4,0.07,0,0,0,13.3,44.3,66.1
2022-02-03,Los Angeles,64.5,0.01,0,0,0,5.3,40.1,64.3
2022-02-04,Los Angeles,73.2,0.07,0,0,0,11.8,78.6,70.7
2022-02-05,Los Angeles,74.5,0.05,0,0,0,10.9,30.6,73.7
2022-02-06,Los Angeles,62.2,0.05,0,0,0,5.1,81.2,62.1
2022-02-07,Los Angeles,54.5,0.05,0,0,0,14.9,59.1,53.1
2022-02-08,Los Angeles,67.1,0.0,0,0,0,15.9,43.4,69.8
2022-02-09,Los Angeles,64.8,0.03,0,0,0,5.7,39.1,64.2
2022-02-10,Los Angeles,66.5,0.02,0,0,0,17.2,60.4,71.1
2022-02-11,Los Angeles,63.2,0.05,0,0,0,10.0,56.7,60.6
2022-02-12,Los Angeles,64.9,0.07,0,0,0,17.7,51.1,72.3
2022-02-13,Los Angeles,60.1,0.02,0,0,0,11.2,80.7,60.0
2022-02-14,Los Angeles,54.6,0.05,0,0,0,13.2,64.7,56.0
2022-02-15,Los Angeles,69.0,0.06,0,0,0,5.0,62.6,64.5
2022-02-16,Los Angeles,70.2,0.06,0,0,0,11.9,73.1,69.4
2022-02-17,Los Angeles,72.2,0.04,0,0,0,11.0,63.2,73.1
2022-02-18,Los Angeles,66.1,0.0,0,0,0,4.9,62.6,69.4
2022-02-19,Los Angeles,57.3,0.03,0,0,0,4.0,46.5,57.9
2022-02-20,Los Angeles,59.3,0.02,0,0,0,12.4,43.4,54.1
2022-02-21,Los Angeles,58.4,0.07,0,0,0,8.1,45.5,53.1
2022-02-22,Los Angeles,68.3,0.01,0,0,0,18.2,50.9,71.6
2022-02-23,Los Angeles,74.9,0.01,0,0,0,5.6,63.5,76.4
2022-02-24,Los Angeles,64.6,0.01,0,0,0,5.0,30.2,68.8
2022-02-25,Los Angeles,62.9,0.0,0,0,0,12.5,42.2,63.6
2022-02-26,Los Angeles,57.6,0.07,0,0,0,8.2,42.2,59.0
2022-02-27,Los Angeles,62.3,0.04,0,0,0,2.7,37.3,59.6
2022-02-28,Los Angeles,64.2,0.07,0,0,0,19.5,59.3,67.6
2022-03-01,Los Angeles,58.6,0.03,0,0,0,12.2,59.1,61.4
2022-03-02,Los Angeles,59.1,0.2,0,0,0,13.5,54.2,67.0
2022-03-03,Los Angeles,66.0,0.01,0,0,0,14.8,84.9,60.0
2022-03-04,Los Angeles,59.3,0.07,0,0,0,6.3,64.9,55.0
2022-03-05,Los Angeles,63.0,0.09,0,0,0,8.6,70.1,68.4
2022-03-06,Los Angeles,72.6,0.0,0,0,0,0.4,67.1,69.4
2022-03-07,Los Angeles,62.8,0.02,0,0,0,2.7,38.7,63.7
2022-03-08,Los Angeles,61.5,0.03,0,0,0,10.7,62.1,63.0
2022-03-09,Los Angeles,64.2,0.03,0,0,0,11.1,32.5,65.5
2022-03-10,Los Angeles,71.4,0.04,0,0,0,8.9,60.1,72.8
2022-03-11,Los Angeles,67.8,0.04,0,0,0,7.9,63.3,70.1
2022-03-12,Los Angeles,73.5,0.01,0,0,0,15.7,80.1,72.6
2022-03-13,Los Angeles,69.1,0.06,0,0,0,16.7,85.0,68.9
2022-03-14,Los Angeles,67.4,0.01,0,0,0,8.2,79.2,68.0
2022-03-15,Los Angeles,72.6,0.09,0,0,0,8.5,83.6,72.9
2022-03-16,Los Angeles,66.3,0.04,0,0,0,5.7,80.9,66.1
2022-03-17,Los Angeles,52.2,0.05,0,0,0,12.6,77.4,51.7
2022-03-18,Los Angeles,67.9,0.01,0,0,0,8.5,45.5,67.6
2022-03-19,Los Angeles,66.8,0.02,0,0,0,7.6,50.2,69.9
2022-03-20,Los Angeles,59.2,0.17,0,0,0,12.2,63.0,60.7
2022-03-21,Los Angeles,64.9,0.11,0,0,0,1.3,43.4,63.0
2022-03-22,Los Angeles,63.1,0.0,0,0,0,16.8,66.9,62.1
2022-03-23,Los Angeles,66.2,0.05,0,0,0,3.8,69.4,66.5
2022-03-24,Los Angeles,66.1,0.07,0,0,0,5.4,39.2,71.0
2022-03-25,Los Angeles,69.1,0.01,0,0,0,2.8,43.0,70.4
2022-03-26,Los Angeles,70.4,0.08,0,0,0,10.8,59.5,64.0
2022-03-27,Los Angeles,60.7,0.01,0,0,0,7.9,44.4,61.1
2022-03-28,Los Angeles,65.8,0.0,0,0,0,6.3,64.9,66.8
2022-03-29,Los Angeles,69.5,0.0,0,0,0,8.9,72.2,75.5
2022-03-30,Los Angeles,63.0,0.08,0,0,0,6.5,73.0,63.6
2022-03-31,Los Angeles,62.7,0.01,0,0,0,16.6,72.2,56.5
2022-04-01,Los Angeles,74.7,0.04,0,0,0,13.0,62.2,74.7
2022-04-02,Los Angeles,68.6,0.03,0,0,0,10.1,42.8,66.2
2022-04-03,Los Angeles,73.6,0.04,0,0,0,7.9,63.9,71.7
2022-04-04,Los Angeles,65.6,0.08,0,0,0,11.5,55.1,63.4
2022-04-05,Los Angeles,72.9,0.01,0,0,0,2.5,61.7,71.4
2022-04-06,Los Angeles,72.5,0.01,0,0,0,11.9,52.2,72.5
2022-04-07,Los Angeles,79.2,0.01,0,0,0,14.2,76.1,82.4
2022-04-08,Los Angeles,73.8,0.09,0,0,0,2.3,62.4,77.4
2022-04-09,Los Angeles,67.3,0.02,0,0,0,10.3,56.1,68.4
2022-04-10,Los Angeles,69.0,0.0,0,0,0,13.9,46.6,67.5
2022-04-11,Los Angeles,62.0,0.03,0,0,0,8.4,48.3,59.9
2022-04-12,Los Angeles,59.5,0.01,0,0,0,8.9,36.7,58.4
